COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
40.0,4877.43589744,4638.97435897,4665.64102564,4393.84615385,4598.97435897,4080.51282051,4544.61538462,4810.25641026,4663.07692308,4797.43589744,4602.05128205,4637.43589744,4508.20512821,4457.43589744,1696.0,1662.0,20.581,0.0,0.0,0.0,0.0,mike,0
41.0,4871.28205128,4637.94871795,4661.53846154,4392.30769231,4609.74358974,4084.61538462,4550.76923077,4808.20512821,4657.94871795,4796.41025641,4598.46153846,4635.38461538,4504.61538462,4453.33333333,1697.0,1661.0,20.589,0.0,0.0,0.0,0.0,mike,0
42.0,4897.43589744,4652.30769231,4673.84615385,4398.46153846,4624.1025641,4096.41025641,4589.23076923,4816.92307692,4665.64102564,4807.17948718,4604.1025641,4643.07692308,4520.51282051,4470.76923077,1696.0,1662.0,20.597,0.0,0.0,0.0,0.0,mike,0
43.0,4910.76923077,4659.48717949,4695.38461538,4408.71794872,4607.69230769,4095.38461538,4641.02564103,4825.12820513,4674.35897436,4815.38461538,4615.38461538,4652.30769231,4529.23076923,4489.23076923,1696.0,1661.0,20.605,0.0,0.0,0.0,0.0,mike,0
44.0,4893.84615385,4657.43589744,4695.38461538,4412.30769231,4607.69230769,4094.35897436,4661.53846154,4818.46153846,4674.87179487,4816.41025641,4618.46153846,4658.46153846,4528.71794872,4488.20512821,1697.0,1662.0,20.612,0.0,0.0,0.0,0.0,mike,0
45.0,4885.64102564,4655.38461538,4677.43589744,4408.20512821,4636.41025641,4101.53846154,4666.15384615,4811.28205128,4671.79487179,4814.35897436,4616.41025641,4655.8974359,4525.64102564,4474.87179487,1697.0,1662.0,20.62,0.0,0.0,0.0,0.0,mike,0
46.0,4888.71794872,4648.71794872,4677.43589744,4406.15384615,4627.69230769,4100.51282051,4688.20512821,4817.94871795,4670.76923077,4810.76923077,4614.35897436,4646.15384615,4525.12820513,4470.76923077,1698.0,1662.0,20.628,0.0,0.0,0.0,0.0,mike,0
47.0,4895.38461538,4647.17948718,4695.38461538,4408.71794872,4610.25641026,4101.02564103,4716.92307692,4829.74358974,4676.41025641,4814.35897436,4618.97435897,4652.82051282,4532.82051282,4487.17948718,1697.0,1661.0,20.636,0.0,0.0,0.0,0.0,mike,0
48.0,4905.12820513,4650.25641026,4695.8974359,4405.12820513,4628.20512821,4105.64102564,4724.1025641,4832.82051282,4678.46153846,4815.38461538,4619.48717949,4665.64102564,4534.35897436,4488.71794872,1698.0,1661.0,20.644,0.0,0.0,0.0,0.0,mike,0
49.0,4900.0,4642.05128205,4675.8974359,4396.41025641,4625.64102564,4095.8974359,4712.82051282,4823.07692308,4666.66666667,4803.07692308,4611.79487179,4654.87179487,4522.56410256,4470.76923077,1699.0,1661.0,20.651,0.0,0.0,0.0,0.0,mike,0
50.0,4887.17948718,4638.97435897,4675.8974359,4396.92307692,4592.82051282,4085.64102564,4709.23076923,4821.53846154,4664.1025641,4798.46153846,4611.28205128,4644.1025641,4520.51282051,4467.69230769,1698.0,1662.0,20.659,0.0,0.0,0.0,0.0,mike,0
51.0,4887.69230769,4647.17948718,4688.20512821,4404.1025641,4596.92307692,4095.38461538,4716.92307692,4828.20512821,4676.41025641,4812.82051282,4618.97435897,4650.76923077,4526.66666667,4476.41025641,1698.0,1661.0,20.667,0.0,0.0,0.0,0.0,mike,0
52.0,4889.23076923,4647.17948718,4681.02564103,4402.56410256,4629.74358974,4102.05128205,4715.38461538,4821.02564103,4674.35897436,4815.38461538,4614.87179487,4650.76923077,4523.58974359,4477.94871795,1699.0,1663.0,20.675,0.0,0.0,0.0,0.0,mike,0
53.0,4887.17948718,4643.58974359,4671.79487179,4398.46153846,4626.66666667,4096.92307692,4708.71794872,4809.23076923,4663.07692308,4799.48717949,4604.1025641,4643.58974359,4518.46153846,4469.74358974,1699.0,1662.0,20.683,0.0,0.0,0.0,0.0,mike,0
54.0,4891.28205128,4646.15384615,4682.56410256,4401.02564103,4603.07692308,4097.43589744,4706.15384615,4810.76923077,4662.05128205,4798.46153846,4607.17948718,4644.1025641,4520.51282051,4466.15384615,1698.0,1662.0,20.69,0.0,0.0,0.0,0.0,mike,0
55.0,4894.35897436,4650.25641026,4691.79487179,4404.61538462,4612.30769231,4101.53846154,4706.15384615,4817.94871795,4665.12820513,4813.33333333,4617.43589744,4652.30769231,4523.58974359,4471.79487179,1700.0,1661.0,20.698,0.0,0.0,0.0,0.0,mike,0
56.0,4891.28205128,4648.20512821,4682.56410256,4404.1025641,4612.82051282,4093.84615385,4701.53846154,4816.41025641,4663.58974359,4811.79487179,4611.79487179,4654.87179487,4523.07692308,4470.76923077,1698.0,1661.0,20.706,0.0,0.0,0.0,0.0,mike,0
57.0,4889.74358974,4639.48717949,4674.87179487,4399.48717949,4591.28205128,4084.1025641,4690.25641026,4806.66666667,4656.41025641,4796.41025641,4601.53846154,4643.58974359,4520.0,4462.05128205,1700.0,1661.0,20.714,0.0,0.0,0.0,0.0,mike,0
58.0,4889.23076923,4635.8974359,4676.92307692,4395.8974359,4607.17948718,4088.20512821,4685.12820513,4803.58974359,4656.41025641,4798.97435897,4609.74358974,4636.41025641,4520.0,4468.71794872,1700.0,1660.0,20.722,0.0,0.0,0.0,0.0,mike,0
59.0,4890.25641026,4641.53846154,4680.0,4398.46153846,4637.43589744,4097.43589744,4693.84615385,4814.35897436,4669.23076923,4814.87179487,4622.56410256,4648.71794872,4524.1025641,4481.02564103,1700.0,1663.0,20.73,0.0,0.0,0.0,0.0,mike,0
60.0,4889.74358974,4643.58974359,4683.07692308,4402.05128205,4624.61538462,4096.92307692,4700.0,4818.46153846,4672.82051282,4815.38461538,4618.97435897,4654.87179487,4524.61538462,4477.43589744,1699.0,1662.0,20.737,0.0,0.0,0.0,0.0,mike,0
61.0,4888.20512821,4642.05128205,4684.1025641,4397.94871795,4604.1025641,4092.30769231,4694.87179487,4810.76923077,4664.1025641,4808.71794872,4613.33333333,4647.17948718,4521.53846154,4473.84615385,1699.0,1662.0,20.745,0.0,0.0,0.0,0.0,mike,0
62.0,4889.23076923,4644.61538462,4685.12820513,4395.8974359,4607.17948718,4091.79487179,4689.23076923,4811.79487179,4666.15384615,4809.74358974,4617.43589744,4650.25641026,4525.12820513,4474.35897436,1699.0,1661.0,20.753,0.0,0.0,0.0,0.0,mike,0
