COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
26.0,4702.05128205,4566.15384615,4605.12820513,4307.69230769,4505.64102564,4024.1025641,4569.74358974,4678.46153846,4558.46153846,4677.94871795,4440.51282051,4463.58974359,4331.28205128,4325.64102564,1695.0,1662.0,9.571,0.0,0.0,0.0,0.0,mike,0
27.0,4702.05128205,4567.69230769,4605.64102564,4306.66666667,4508.71794872,4020.51282051,4571.28205128,4678.46153846,4556.92307692,4673.84615385,4442.56410256,4460.51282051,4331.28205128,4326.66666667,1695.0,1661.0,9.579,0.0,0.0,0.0,0.0,mike,0
28.0,4705.12820513,4571.79487179,4606.15384615,4307.69230769,4504.1025641,4020.51282051,4571.28205128,4679.48717949,4557.43589744,4672.82051282,4446.15384615,4461.53846154,4330.25641026,4323.58974359,1695.0,1662.0,9.587,0.0,0.0,0.0,0.0,mike,0
29.0,4703.58974359,4562.56410256,4604.61538462,4307.17948718,4487.69230769,4018.46153846,4569.74358974,4678.46153846,4554.87179487,4667.69230769,4441.02564103,4460.0,4326.15384615,4316.41025641,1694.0,1662.0,9.594,0.0,0.0,0.0,0.0,mike,0
30.0,4700.0,4553.33333333,4602.05128205,4305.64102564,4488.71794872,4016.92307692,4566.66666667,4676.92307692,4551.28205128,4662.05128205,4433.84615385,4457.94871795,4323.07692308,4312.82051282,1695.0,1662.0,9.602,0.0,0.0,0.0,0.0,mike,0
31.0,4702.56410256,4566.15384615,4607.17948718,4307.17948718,4506.66666667,4022.05128205,4569.74358974,4683.07692308,4554.87179487,4669.74358974,4441.53846154,4463.07692308,4326.15384615,4320.0,1694.0,1661.0,9.617,0.0,0.0,0.0,0.0,mike,0
32.0,4704.1025641,4571.28205128,4611.79487179,4307.17948718,4509.74358974,4020.51282051,4570.76923077,4687.17948718,4556.92307692,4674.35897436,4446.66666667,4465.64102564,4327.69230769,4321.53846154,1694.0,1662.0,9.618,0.0,0.0,0.0,0.0,mike,0
33.0,4702.56410256,4556.92307692,4607.17948718,4303.07692308,4501.53846154,4017.94871795,4568.20512821,4681.02564103,4554.35897436,4665.64102564,4438.46153846,4462.05128205,4325.64102564,4314.87179487,1694.0,1660.0,9.63,0.0,0.0,0.0,0.0,mike,0
34.0,4702.56410256,4557.43589744,4606.15384615,4305.12820513,4503.07692308,4026.66666667,4571.79487179,4680.0,4558.46153846,4665.12820513,4437.43589744,4460.51282051,4325.12820513,4316.92307692,1693.0,1662.0,9.639,0.0,0.0,0.0,0.0,mike,0
35.0,4706.15384615,4570.25641026,4612.82051282,4309.23076923,4508.20512821,4032.30769231,4576.41025641,4686.15384615,4565.64102564,4674.35897436,4444.61538462,4462.56410256,4326.66666667,4324.1025641,1694.0,1661.0,9.65,0.0,0.0,0.0,0.0,mike,0
