COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL,USER,CLASS
110.0,4707.69230769,4569.23076923,4616.41025641,4284.61538462,4551.28205128,4029.74358974,4545.12820513,4686.66666667,4555.38461538,4680.0,4442.56410256,4492.82051282,4335.8974359,4307.69230769,1694.0,1662.0,16.699,0.0,0.0,0.0,0.0,mike,0
111.0,4704.61538462,4571.28205128,4616.41025641,4286.15384615,4556.41025641,4032.30769231,4549.23076923,4686.66666667,4557.43589744,4682.56410256,4443.58974359,4496.41025641,4336.41025641,4302.56410256,1694.0,1661.0,16.707,0.0,0.0,0.0,0.0,mike,0
112.0,4710.25641026,4576.92307692,4618.97435897,4287.17948718,4553.33333333,4033.33333333,4549.74358974,4682.56410256,4557.94871795,4687.17948718,4447.69230769,4506.15384615,4340.51282051,4308.71794872,1694.0,1663.0,16.714,0.0,0.0,0.0,0.0,mike,0
113.0,4709.23076923,4575.8974359,4618.97435897,4281.02564103,4546.15384615,4022.56410256,4538.46153846,4674.87179487,4554.87179487,4681.53846154,4444.1025641,4506.66666667,4335.8974359,4311.79487179,1695.0,1662.0,16.722,0.0,0.0,0.0,0.0,mike,0
114.0,4706.66666667,4574.35897436,4616.92307692,4278.46153846,4541.53846154,4015.38461538,4533.33333333,4672.30769231,4553.33333333,4676.41025641,4441.53846154,4496.92307692,4332.82051282,4303.07692308,1694.0,1663.0,16.73,0.0,0.0,0.0,0.0,mike,0
115.0,4711.28205128,4570.76923077,4617.94871795,4282.05128205,4540.51282051,4020.51282051,4539.48717949,4674.35897436,4555.8974359,4680.0,4442.56410256,4493.33333333,4334.35897436,4297.43589744,1695.0,1663.0,16.738,0.0,0.0,0.0,0.0,mike,0
116.0,4711.28205128,4565.64102564,4617.94871795,4281.02564103,4536.92307692,4021.02564103,4538.97435897,4673.84615385,4553.33333333,4677.43589744,4440.51282051,4492.82051282,4329.23076923,4296.41025641,1694.0,1663.0,16.746,0.0,0.0,0.0,0.0,mike,0
117.0,4702.05128205,4566.15384615,4614.87179487,4278.46153846,4536.41025641,4016.92307692,4536.41025641,4670.76923077,4545.12820513,4670.25641026,4438.46153846,4491.28205128,4323.58974359,4295.38461538,1694.0,1663.0,16.754,0.0,0.0,0.0,0.0,mike,0
118.0,4699.48717949,4570.76923077,4616.41025641,4280.0,4549.23076923,4024.1025641,4539.48717949,4675.38461538,4548.20512821,4673.84615385,4442.56410256,4492.30769231,4328.71794872,4299.48717949,1694.0,1663.0,16.761,0.0,0.0,0.0,0.0,mike,0
119.0,4705.64102564,4572.30769231,4618.46153846,4282.56410256,4557.94871795,4031.28205128,4542.05128205,4679.48717949,4555.38461538,4678.97435897,4444.61538462,4493.84615385,4335.8974359,4307.17948718,1695.0,1664.0,16.769,0.0,0.0,0.0,0.0,mike,0
120.0,4708.71794872,4571.28205128,4616.92307692,4280.0,4542.56410256,4024.1025641,4540.51282051,4668.71794872,4545.12820513,4673.33333333,4442.56410256,4492.30769231,4336.41025641,4310.25641026,1695.0,1663.0,16.777,0.0,0.0,0.0,0.0,mike,0
121.0,4707.17948718,4571.79487179,4615.8974359,4277.94871795,4531.28205128,4018.97435897,4538.97435897,4662.05128205,4535.8974359,4671.28205128,4443.58974359,4493.33333333,4333.84615385,4307.69230769,1695.0,1664.0,16.785,0.0,0.0,0.0,0.0,mike,0
122.0,4709.23076923,4570.76923077,4617.94871795,4280.51282051,4542.05128205,4023.58974359,4539.48717949,4672.30769231,4548.20512821,4678.46153846,4444.1025641,4494.35897436,4332.30769231,4306.15384615,1694.0,1663.0,16.793,0.0,0.0,0.0,0.0,mike,0
123.0,4712.30769231,4570.25641026,4618.46153846,4282.56410256,4551.79487179,4027.17948718,4541.53846154,4680.0,4560.0,4680.0,4442.56410256,4493.84615385,4337.94871795,4307.69230769,1695.0,1663.0,16.801,0.0,0.0,0.0,0.0,mike,0
124.0,4708.71794872,4575.8974359,4615.8974359,4279.48717949,4550.25641026,4027.17948718,4540.0,4676.92307692,4554.87179487,4679.48717949,4448.20512821,4497.94871795,4342.05128205,4310.25641026,1694.0,1664.0,16.808,0.0,0.0,0.0,0.0,mike,0
125.0,4711.28205128,4584.61538462,4618.97435897,4282.56410256,4551.79487179,4027.17948718,4540.0,4681.02564103,4554.35897436,4685.64102564,4456.41025641,4506.15384615,4342.05128205,4314.87179487,1694.0,1663.0,16.816,0.0,0.0,0.0,0.0,mike,0
126.0,4721.02564103,4589.23076923,4628.71794872,4292.30769231,4551.79487179,4029.74358974,4547.17948718,4689.23076923,4564.1025641,4690.25641026,4460.0,4510.25641026,4346.66666667,4319.48717949,1693.0,1663.0,16.825,0.0,0.0,0.0,0.0,mike,0
127.0,4722.05128205,4582.56410256,4630.25641026,4296.41025641,4538.97435897,4028.71794872,4547.69230769,4687.17948718,4562.56410256,4689.23076923,4457.43589744,4509.23076923,4352.82051282,4318.46153846,1695.0,1663.0,16.832,0.0,0.0,0.0,0.0,mike,0
128.0,4717.43589744,4577.94871795,4628.20512821,4291.28205128,4538.46153846,4024.1025641,4538.97435897,4681.02564103,4555.38461538,4688.20512821,4456.92307692,4507.17948718,4348.71794872,4317.94871795,1694.0,1662.0,16.84,0.0,0.0,0.0,0.0,mike,0
0.0,4720.51282051,4582.56410256,4632.82051282,4287.17948718,4554.35897436,4026.66666667,4540.0,4678.97435897,4556.41025641,4689.23076923,4457.94871795,4507.17948718,4343.58974359,4320.0,1694.0,1663.0,16.847,0.0,0.0,0.0,0.0,mike,0
1.0,4721.02564103,4581.53846154,4628.71794872,4283.07692308,4557.43589744,4031.79487179,4542.56410256,4681.02564103,4558.97435897,4688.20512821,4451.28205128,4509.23076923,4344.61538462,4315.38461538,1693.0,1662.0,16.855,0.0,0.0,0.0,0.0,mike,0
2.0,4712.82051282,4572.82051282,4616.92307692,4275.8974359,4548.71794872,4027.69230769,4532.30769231,4678.46153846,4554.35897436,4684.1025641,4447.17948718,4504.1025641,4343.58974359,4310.25641026,1693.0,1663.0,16.863,0.0,0.0,0.0,0.0,mike,0
3.0,4714.35897436,4575.38461538,4621.53846154,4282.56410256,4550.76923077,4027.69230769,4530.76923077,4681.02564103,4560.0,4687.69230769,4456.41025641,4504.61538462,4345.12820513,4316.92307692,1694.0,1662.0,16.871,0.0,0.0,0.0,0.0,mike,0
4.0,4728.20512821,4590.25641026,4635.8974359,4300.0,4554.35897436,4031.28205128,4541.02564103,4693.84615385,4573.33333333,4698.97435897,4467.17948718,4518.97435897,4356.92307692,4333.33333333,1692.0,1662.0,16.879,0.0,0.0,0.0,0.0,mike,0
5.0,4730.25641026,4589.23076923,4636.92307692,4294.35897436,4546.66666667,4024.61538462,4536.41025641,4692.82051282,4569.23076923,4694.87179487,4461.02564103,4521.02564103,4358.97435897,4335.38461538,1694.0,1663.0,16.887,0.0,0.0,0.0,0.0,mike,0
6.0,4719.48717949,4573.84615385,4627.17948718,4276.92307692,4537.94871795,4022.56410256,4523.58974359,4673.33333333,4551.79487179,4676.92307692,4446.66666667,4503.58974359,4341.02564103,4317.94871795,1693.0,1662.0,16.894,0.0,0.0,0.0,0.0,mike,0
7.0,4713.33333333,4570.76923077,4621.53846154,4278.97435897,4537.43589744,4028.20512821,4523.58974359,4665.12820513,4542.05128205,4668.71794872,4440.0,4494.87179487,4326.66666667,4307.17948718,1693.0,1663.0,16.902,0.0,0.0,0.0,0.0,mike,0
8.0,4703.58974359,4567.69230769,4613.84615385,4277.94871795,4542.56410256,4025.12820513,4527.17948718,4666.66666667,4540.51282051,4664.1025641,4430.25641026,4490.25641026,4320.51282051,4302.05128205,1693.0,1661.0,16.91,0.0,0.0,0.0,0.0,mike,0
9.0,4687.17948718,4550.25641026,4602.05128205,4262.56410256,4540.51282051,4015.8974359,4522.05128205,4660.0,4534.87179487,4653.33333333,4412.82051282,4476.92307692,4307.17948718,4285.12820513,1693.0,1662.0,16.918,0.0,0.0,0.0,0.0,mike,0
10.0,4687.69230769,4548.71794872,4601.53846154,4264.61538462,4532.82051282,4013.84615385,4519.48717949,4661.53846154,4534.87179487,4656.41025641,4411.79487179,4475.38461538,4303.07692308,4282.05128205,1693.0,1661.0,16.926,0.0,0.0,0.0,0.0,mike,0
11.0,4703.07692308,4569.23076923,4613.33333333,4277.43589744,4534.87179487,4018.46153846,4521.53846154,4676.92307692,4547.69230769,4671.79487179,4434.35897436,4489.74358974,4321.02564103,4301.53846154,1694.0,1662.0,16.933,0.0,0.0,0.0,0.0,mike,0
12.0,4709.74358974,4575.8974359,4616.92307692,4277.94871795,4547.69230769,4026.15384615,4527.17948718,4681.53846154,4555.38461538,4677.43589744,4446.66666667,4495.38461538,4335.38461538,4310.25641026,1694.0,1662.0,16.941,0.0,0.0,0.0,0.0,mike,0
13.0,4710.76923077,4572.30769231,4615.38461538,4277.43589744,4556.92307692,4030.25641026,4535.38461538,4676.41025641,4554.35897436,4675.8974359,4444.1025641,4493.84615385,4335.38461538,4308.71794872,1693.0,1663.0,16.949,0.0,0.0,0.0,0.0,mike,0
14.0,4713.33333333,4577.43589744,4618.97435897,4282.05128205,4550.76923077,4027.17948718,4535.38461538,4676.92307692,4555.8974359,4677.94871795,4445.64102564,4496.92307692,4335.38461538,4310.25641026,1695.0,1662.0,16.957,0.0,0.0,0.0,0.0,mike,0
15.0,4705.12820513,4573.84615385,4613.33333333,4280.0,4539.48717949,4020.51282051,4524.1025641,4672.82051282,4551.28205128,4675.38461538,4441.02564103,4488.71794872,4330.76923077,4302.56410256,1693.0,1662.0,16.965,0.0,0.0,0.0,0.0,mike,0
16.0,4695.38461538,4565.12820513,4607.17948718,4276.41025641,4533.33333333,4016.41025641,4518.46153846,4663.07692308,4544.1025641,4669.74358974,4431.79487179,4479.48717949,4324.61538462,4293.33333333,1695.0,1661.0,16.973,0.0,0.0,0.0,0.0,mike,0
17.0,4699.48717949,4568.71794872,4611.79487179,4276.92307692,4537.43589744,4021.02564103,4522.05128205,4662.05128205,4548.71794872,4673.33333333,4433.33333333,4485.64102564,4325.64102564,4294.87179487,1695.0,1659.0,16.98,0.0,0.0,0.0,0.0,mike,0
18.0,4703.58974359,4570.76923077,4612.30769231,4274.35897436,4542.56410256,4022.56410256,4523.07692308,4663.07692308,4546.66666667,4672.30769231,4432.30769231,4484.1025641,4327.17948718,4296.92307692,1696.0,1660.0,16.988,0.0,0.0,0.0,0.0,mike,0
19.0,4701.02564103,4566.15384615,4611.28205128,4275.38461538,4537.43589744,4018.46153846,4522.56410256,4661.02564103,4535.38461538,4664.61538462,4428.71794872,4478.97435897,4324.61538462,4292.30769231,1695.0,1660.0,16.996,0.0,0.0,0.0,0.0,mike,0
20.0,4703.07692308,4570.76923077,4613.33333333,4279.48717949,4534.35897436,4021.02564103,4524.1025641,4666.66666667,4543.58974359,4669.23076923,4436.92307692,4488.71794872,4325.64102564,4294.35897436,1695.0,1662.0,17.004,0.0,0.0,0.0,0.0,mike,0
21.0,4703.58974359,4572.30769231,4609.23076923,4275.8974359,4543.07692308,4023.58974359,4525.12820513,4674.87179487,4557.94871795,4682.56410256,4442.05128205,4492.82051282,4329.74358974,4298.46153846,1694.0,1662.0,17.012,0.0,0.0,0.0,0.0,mike,0
22.0,4693.84615385,4558.46153846,4598.97435897,4263.58974359,4539.48717949,4018.46153846,4522.56410256,4670.25641026,4553.33333333,4679.48717949,4429.23076923,4476.41025641,4326.15384615,4287.69230769,1695.0,1663.0,17.019,0.0,0.0,0.0,0.0,mike,0
23.0,4692.82051282,4553.33333333,4600.51282051,4263.07692308,4525.12820513,4015.8974359,4520.0,4667.17948718,4548.71794872,4672.82051282,4427.17948718,4474.87179487,4324.1025641,4284.1025641,1694.0,1662.0,17.027,0.0,0.0,0.0,0.0,mike,0
24.0,4704.61538462,4567.69230769,4611.79487179,4275.38461538,4531.79487179,4020.51282051,4524.1025641,4676.41025641,4554.87179487,4676.92307692,4442.05128205,4491.28205128,4331.28205128,4304.61538462,1692.0,1662.0,17.035,0.0,0.0,0.0,0.0,mike,0
25.0,4708.20512821,4576.41025641,4617.94871795,4283.58974359,4546.15384615,4023.07692308,4526.66666667,4682.05128205,4555.38461538,4677.94871795,4441.02564103,4494.87179487,4334.35897436,4312.82051282,1694.0,1662.0,17.043,0.0,0.0,0.0,0.0,mike,0
26.0,4702.05128205,4566.15384615,4615.8974359,4279.48717949,4539.48717949,4021.53846154,4523.07692308,4677.43589744,4550.76923077,4670.76923077,4427.69230769,4490.25641026,4325.64102564,4296.92307692,1692.0,1663.0,17.051,0.0,0.0,0.0,0.0,mike,0
