COUNTER,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL]
3,4191.794872,4227.179487,4258.461538,4236.923077,4229.230769,4271.794872,4221.025641,4211.282051,4084.615385,4193.333333,4108.717949,4159.487179,4098.461538,4212.307692,1680,1744,21.605,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
4,4333.333333,4114.358974,3999.487179,4058.461538,4029.230769,3931.794872,4002.051282,4273.333333,4432.307692,4221.025641,4467.179487,4478.974359,4481.025641,4411.794872,1680,1744,21.613,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
5,4035.384615,4227.179487,4410.25641,4316.410256,4393.333333,4454.871795,4406.153846,4082.564103,4147.692308,4183.076923,4016.923077,3860,4045.128205,3834.358974,1680,1744,21.621,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
6,4184.615385,4353.333333,4367.179487,4349.230769,4281.025641,4436.923077,4290.25641,4264.102564,3697.435897,4168.205128,3843.076923,4128.205128,3789.74359,4352.820513,1680,1745,21.628,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
7,5043.076923,3692.307692,2784.102564,3278.461538,3076.410256,2364.615385,2994.871795,4649.74359,5807.692308,4303.589744,6035.897436,5982.051282,6090.769231,5530.769231,1680,1744,21.636,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
8,4268.717949,3873.846154,3392.820513,3741.538462,3854.871795,3194.871795,4037.435897,4063.589744,5986.153846,4195.384615,5591.282051,4665.128205,5763.589744,3840.512821,1679,1745,21.644,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
9,3631.282051,4709.74359,4515.897436,4724.102564,4762.564103,4892.307692,5203.076923,3802.051282,3686.666667,4145.128205,3539.487179,3401.025641,3438.974359,3429.74359,1681,1744,21.652,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
10,4336.923077,4347.692308,3592.307692,4065.128205,3933.333333,3715.897436,4210.769231,4172.307692,4297.435897,4305.128205,4536.923077,4618.461538,4301.538462,4662.564103,1679,1744,21.66,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
11,4129.230769,4221.025641,3708.205128,4072.307692,4103.076923,3647.692308,4376.410256,4024.102564,4933.846154,4224.102564,4891.794872,4410.25641,4713.846154,4025.641026,1681,1745,21.668,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
12,3945.128205,4477.948718,4026.666667,4365.641026,4351.794872,4318.461538,4702.564103,3975.384615,4188.717949,4203.589744,4140,4004.615385,3992.820513,3888.205128,1681,1743,21.675,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
